sbscrbr,Plan_Type,voice_time,sms_used,load_date
5879009159,PLN-100,918,4,26-01-2021
7598506704,PLN-500,915,6,26-01-2021
8084937991,PLN-50,909,4,26-01-2021
2749173407,PLN-500,904,3,26-01-2021
2021807324,PLN-2K,906,4,26-01-2021
8775599439,PLN-2K,920,7,26-01-2021
4682544228,PLN-50,920,5,26-01-2021
7615701682,PLN-2K,909,6,26-01-2021
6515664166,PLN-50,907,7,26-01-2021
2027766534,PLN-500,903,2,26-01-2021
9866590863,PLN-50,908,2,26-01-2021
9727152829,PLN-500,914,2,26-01-2021
3932646752,PLN-2K,908,7,26-01-2021
2699592901,PLN-2K,907,1,26-01-2021
4196949779,PLN-50,920,1,26-01-2021
7969044816,PLN-2K,912,4,26-01-2021
7848228476,PLN-100,908,2,26-01-2021
3595480181,PLN-500,913,5,26-01-2021
3854509678,PLN-500,917,5,26-01-2021
7576518626,PLN-2K,919,6,26-01-2021
9194468242,PLN-100,916,2,26-01-2021
5062718206,PLN-500,908,2,26-01-2021
9497883803,PLN-50,909,2,26-01-2021
3754689807,PLN-500,908,3,26-01-2021
3819802443,PLN-2K,900,7,26-01-2021
1446730539,PLN-2K,916,7,26-01-2021
3144967947,PLN-50,915,2,26-01-2021
8632541976,PLN-2K,906,2,26-01-2021
4892011670,PLN-100,913,7,26-01-2021
4681738720,PLN-500,908,6,26-01-2021
6788186529,PLN-500,918,1,26-01-2021
5706085789,PLN-2K,918,2,26-01-2021
6138634859,PLN-100,918,1,26-01-2021
4321819908,PLN-500,905,7,26-01-2021
5218485221,PLN-50,910,6,26-01-2021
8029855518,PLN-500,910,4,26-01-2021
9425409194,PLN-2K,910,4,26-01-2021
7125213137,PLN-2K,904,7,26-01-2021
9285714279,PLN-50,910,7,26-01-2021
